filename,width,height,class,xmin,ymin,xmax,ymax
261702.jpg,972,1296,Carnation,335,396,521,556
261702.jpg,972,1296,Carnation,156,500,316,630
261702.jpg,972,1296,Carnation,137,663,321,809
261702.jpg,972,1296,Carnation,226,823,374,954
261702.jpg,972,1296,Carnation,530,612,621,802
261702.jpg,972,1296,Carnation,688,554,765,740
25198.jpg,720,960,Sunflower,3,1,602,959
21498.jpg,720,883,Tulip,174,197,478,489
21498.jpg,720,883,Tulip,223,478,505,740
21498.jpg,720,883,Tulip,456,307,708,544
21498.jpg,720,883,Tulip,463,525,666,832
21498.jpg,720,883,Tulip,12,38,318,332
21498.jpg,720,883,Tulip,470,14,720,289
214.jpg,720,720,Rose,501,320,654,457
200.jpg,720,720,Rose,166,188,575,515
626047.jpg,512,512,Orchid,66,105,399,313
626047.jpg,512,512,Orchid,86,294,351,484
228.jpg,721,961,Rose,247,311,512,579
22026.jpg,721,961,Tulip,256,150,513,388
628718.jpg,512,512,Orchid,185,248,318,345
628718.jpg,512,512,Orchid,174,334,275,416
628718.jpg,512,512,Orchid,83,310,183,399
628718.jpg,512,512,Orchid,51,225,136,306
628718.jpg,512,512,Orchid,109,189,227,274
628718.jpg,512,512,Orchid,237,50,366,207
628718.jpg,512,512,Orchid,321,178,504,307
628718.jpg,512,512,Orchid,381,41,447,150
628718.jpg,512,512,Orchid,103,43,188,124
628718.jpg,512,512,Orchid,61,86,165,160
628718.jpg,512,512,Orchid,3,111,96,181
628718.jpg,512,512,Orchid,377,302,512,414
628718.jpg,512,512,Orchid,370,413,512,509
628718.jpg,512,512,Orchid,303,2,391,49
22754.jpg,721,698,Tulip,332,479,430,594
22754.jpg,721,698,Tulip,468,437,552,521
22754.jpg,721,698,Tulip,528,221,580,295
22754.jpg,721,698,Tulip,592,184,649,275
22754.jpg,721,698,Tulip,329,250,395,341
22754.jpg,721,698,Tulip,169,254,245,360
22754.jpg,721,698,Tulip,14,402,85,512
22754.jpg,721,698,Tulip,70,557,202,698
22754.jpg,721,698,Tulip,291,151,360,240
22754.jpg,721,698,Tulip,366,101,410,167
22754.jpg,721,698,Tulip,498,162,542,234
22754.jpg,721,698,Tulip,531,117,580,180
22754.jpg,721,698,Tulip,591,136,635,191
22754.jpg,721,698,Tulip,207,181,263,250
22754.jpg,721,698,Tulip,104,213,160,288
22754.jpg,721,698,Tulip,45,184,103,242
22754.jpg,721,698,Tulip,141,155,196,215
22754.jpg,721,698,Tulip,167,94,206,149
22754.jpg,721,698,Tulip,12,119,54,177
22754.jpg,721,698,Tulip,79,51,123,107
22754.jpg,721,698,Tulip,143,45,185,96
22754.jpg,721,698,Tulip,231,63,266,128
22754.jpg,721,698,Tulip,274,50,303,96
22754.jpg,721,698,Tulip,410,19,449,72
22754.jpg,721,698,Tulip,480,26,525,91
22754.jpg,721,698,Tulip,591,57,628,118
22754.jpg,721,698,Tulip,146,3,193,44
22754.jpg,721,698,Tulip,182,46,219,93
22754.jpg,721,698,Tulip,299,26,329,69
22754.jpg,721,698,Tulip,306,70,353,125
22754.jpg,721,698,Tulip,281,97,327,152
22754.jpg,721,698,Tulip,162,363,204,405
22754.jpg,721,698,Tulip,169,484,214,533
22754.jpg,721,698,Tulip,262,366,303,417
22754.jpg,721,698,Tulip,618,452,675,502
22754.jpg,721,698,Tulip,509,308,565,402
22754.jpg,721,698,Tulip,38,79,79,125
22754.jpg,721,698,Tulip,87,7,141,53
22754.jpg,721,698,Tulip,645,80,674,124
22754.jpg,721,698,Tulip,689,153,721,214
22754.jpg,721,698,Tulip,539,2,590,60
22754.jpg,721,698,Tulip,670,22,703,65
254154.jpg,720,960,Carnation,407,251,578,426
254154.jpg,720,960,Carnation,590,381,679,532
254154.jpg,720,960,Carnation,452,562,603,669
254154.jpg,720,960,Carnation,503,819,623,936
254154.jpg,720,960,Carnation,646,816,720,913
254154.jpg,720,960,Carnation,172,454,317,595
254154.jpg,720,960,Carnation,266,330,422,494
254154.jpg,720,960,Carnation,217,206,357,316
254154.jpg,720,960,Carnation,51,241,174,324
254154.jpg,720,960,Carnation,127,324,221,407
254154.jpg,720,960,Carnation,55,371,175,476
254154.jpg,720,960,Carnation,39,475,174,600
254154.jpg,720,960,Carnation,305,524,444,643
254154.jpg,720,960,Carnation,194,697,273,777
254154.jpg,720,960,Carnation,112,675,191,769
254154.jpg,720,960,Carnation,117,795,191,860
254154.jpg,720,960,Carnation,78,850,186,954
22973.jpg,480,316,Sunflower,4,1,144,147
22973.jpg,480,316,Sunflower,127,108,201,202
22973.jpg,480,316,Sunflower,224,136,261,176
22973.jpg,480,316,Sunflower,218,203,263,253
22973.jpg,480,316,Sunflower,283,240,331,292
22973.jpg,480,316,Sunflower,338,27,480,153
233118.jpg,996,1328,Carnation,366,398,511,500
233118.jpg,996,1328,Carnation,232,505,365,601
233118.jpg,996,1328,Carnation,375,526,520,633
233118.jpg,996,1328,Carnation,438,637,566,757
233118.jpg,996,1328,Carnation,398,753,527,869
233118.jpg,996,1328,Carnation,529,760,618,882
233118.jpg,996,1328,Carnation,641,725,770,812
233118.jpg,996,1328,Carnation,584,500,734,621
233118.jpg,996,1328,Carnation,573,630,693,757
233118.jpg,996,1328,Carnation,734,616,879,726
233118.jpg,996,1328,Carnation,198,621,315,757
233118.jpg,996,1328,Carnation,318,623,425,748
233118.jpg,996,1328,Carnation,247,762,375,889
233118.jpg,996,1328,Carnation,707,912,823,1021
207040.jpg,640,814,Daffodil,142,188,556,609
627615.jpg,512,512,Orchid,124,293,207,414
627615.jpg,512,512,Orchid,188,205,270,284
627615.jpg,512,512,Orchid,282,205,374,301
627615.jpg,512,512,Orchid,361,184,427,279
627615.jpg,512,512,Orchid,299,145,368,195
627615.jpg,512,512,Orchid,262,167,336,224
627615.jpg,512,512,Orchid,444,105,512,186
627615.jpg,512,512,Orchid,439,24,512,106
627615.jpg,512,512,Orchid,79,245,135,296
627615.jpg,512,512,Orchid,80,139,182,220
627615.jpg,512,512,Orchid,29,1,183,67
627615.jpg,512,512,Orchid,174,1,229,87
627615.jpg,512,512,Orchid,18,138,66,181
627615.jpg,512,512,Orchid,2,152,61,232
627615.jpg,512,512,Orchid,3,223,64,315
627615.jpg,512,512,Orchid,1,382,143,466
627615.jpg,512,512,Orchid,205,372,326,479
627615.jpg,512,512,Orchid,445,229,512,323
627615.jpg,512,512,Orchid,276,2,277,3
627615.jpg,512,512,Orchid,278,1,340,73
57863.jpg,721,961,Sunflower,9,97,713,914
57877.jpg,721,961,Sunflower,279,198,583,526
22230.jpg,721,961,Tulip,8,166,627,814
645047.jpg,512,512,Orchid,40,137,280,324
645047.jpg,512,512,Orchid,184,42,398,203
645047.jpg,512,512,Orchid,203,257,426,428
645047.jpg,512,512,Orchid,379,6,512,179
266469.jpg,360,360,Carnation,213,192,277,249
266469.jpg,360,360,Carnation,243,256,298,318
266469.jpg,360,360,Carnation,116,185,188,219
266469.jpg,360,360,Carnation,115,223,187,279
266469.jpg,360,360,Carnation,67,268,131,328
266469.jpg,360,360,Carnation,130,294,203,359
266469.jpg,360,360,Carnation,190,245,240,301
266469.jpg,360,360,Carnation,10,220,66,288
266469.jpg,360,360,Carnation,26,170,83,218
266469.jpg,360,360,Carnation,113,152,176,182
266469.jpg,360,360,Carnation,121,26,158,47
266469.jpg,360,360,Carnation,164,40,197,69
266469.jpg,360,360,Carnation,180,74,210,103
266469.jpg,360,360,Carnation,123,62,159,96
266469.jpg,360,360,Carnation,94,45,121,75
266469.jpg,360,360,Carnation,185,165,239,203
266469.jpg,360,360,Carnation,305,236,345,283
266469.jpg,360,360,Carnation,210,325,293,360
266469.jpg,360,360,Carnation,37,311,101,360
24682.jpg,341,346,Sunflower,143,122,233,219
24682.jpg,341,346,Sunflower,53,138,141,274
630396.jpg,512,512,Orchid,149,151,253,238
630396.jpg,512,512,Orchid,260,187,364,343
630396.jpg,512,512,Orchid,257,14,352,88
630396.jpg,512,512,Orchid,1,74,98,164
630396.jpg,512,512,Orchid,1,174,85,262
630396.jpg,512,512,Orchid,1,337,118,451
630396.jpg,512,512,Orchid,197,353,266,449
630396.jpg,512,512,Orchid,37,2,166,74
22231.jpg,721,961,Tulip,33,235,641,706
57876.jpg,721,961,Sunflower,131,3,493,384
57862.jpg,720,720,Sunflower,18,4,720,716
25204.jpg,720,708,Sunflower,22,184,464,667
25204.jpg,720,708,Sunflower,468,113,717,427
21062.jpg,720,567,Tulip,300,231,435,440
21062.jpg,720,567,Tulip,183,21,304,202
21062.jpg,720,567,Tulip,86,435,252,567
21062.jpg,720,567,Tulip,572,223,720,351
21062.jpg,720,567,Tulip,492,132,645,283
229.jpg,721,961,Rose,161,122,609,562
317050.jpg,720,960,Daffodil,227,329,529,537
201.jpg,721,961,Rose,248,444,516,679
21506.jpg,721,961,Tulip,534,361,638,460
21506.jpg,721,961,Tulip,482,408,543,487
21506.jpg,721,961,Tulip,363,411,448,482
21506.jpg,721,961,Tulip,297,338,371,412
21506.jpg,721,961,Tulip,312,446,375,522
21506.jpg,721,961,Tulip,197,376,280,441
21506.jpg,721,961,Tulip,112,356,186,443
21506.jpg,721,961,Tulip,29,355,101,444
21506.jpg,721,961,Tulip,385,348,440,413
215.jpg,721,961,Rose,94,310,546,860
343213.jpg,720,960,Daffodil,202,294,568,574
343213.jpg,720,960,Daffodil,170,1,402,158
21314.jpg,640,1136,Tulip,72,412,335,639
21314.jpg,640,1136,Tulip,313,439,508,615
76.jpg,721,961,Rose,280,346,596,693
21857.jpg,721,961,Tulip,259,207,493,530
188.jpg,721,961,Rose,78,275,556,648
22392.jpg,721,961,Tulip,265,569,418,740
22392.jpg,721,961,Tulip,604,372,720,534
22392.jpg,721,961,Tulip,534,364,593,476
22392.jpg,721,961,Tulip,351,388,430,508
22392.jpg,721,961,Tulip,304,260,362,332
22392.jpg,721,961,Tulip,357,237,420,333
22392.jpg,721,961,Tulip,576,191,635,280
22392.jpg,721,961,Tulip,222,218,278,296
22392.jpg,721,961,Tulip,1,237,55,338
22392.jpg,721,961,Tulip,2,618,91,775
22392.jpg,721,961,Tulip,655,227,702,308
22392.jpg,721,961,Tulip,435,137,486,196
22392.jpg,721,961,Tulip,62,198,104,259
22392.jpg,721,961,Tulip,7,138,57,207
22392.jpg,721,961,Tulip,201,509,316,690
22392.jpg,721,961,Tulip,139,161,178,234
22392.jpg,721,961,Tulip,166,122,211,172
22392.jpg,721,961,Tulip,312,102,346,164
22392.jpg,721,961,Tulip,101,123,144,176
62.jpg,721,961,Rose,182,467,500,799
62.jpg,721,961,Rose,273,734,547,925
62.jpg,721,961,Rose,185,314,330,451
62.jpg,721,961,Rose,1,570,141,814
89.jpg,720,961,Rose,214,273,497,525
89.jpg,720,961,Rose,538,761,720,932
22379.jpg,721,541,Tulip,228,219,366,343
22379.jpg,721,541,Tulip,399,205,559,364
22379.jpg,721,541,Tulip,201,80,313,176
22379.jpg,721,541,Tulip,58,377,231,505
22379.jpg,721,541,Tulip,606,285,708,386
22379.jpg,721,541,Tulip,594,139,721,247
22379.jpg,721,541,Tulip,340,164,449,253
163.jpg,1456,1456,Rose,544,598,991,1068
163.jpg,1456,1456,Rose,852,296,1315,763
163.jpg,1456,1456,Rose,5,41,474,355
635416.jpg,512,512,Orchid,36,338,110,390
635416.jpg,512,512,Orchid,58,236,121,301
635416.jpg,512,512,Orchid,124,212,200,265
635416.jpg,512,512,Orchid,218,210,271,259
635416.jpg,512,512,Orchid,224,268,278,345
635416.jpg,512,512,Orchid,323,329,391,411
635416.jpg,512,512,Orchid,368,213,441,280
635416.jpg,512,512,Orchid,401,145,483,209
635416.jpg,512,512,Orchid,375,105,462,170
635416.jpg,512,512,Orchid,211,101,292,150
635416.jpg,512,512,Orchid,252,50,325,120
635416.jpg,512,512,Orchid,295,32,362,89
635416.jpg,512,512,Orchid,124,135,189,189
635416.jpg,512,512,Orchid,85,176,134,212
635416.jpg,512,512,Orchid,77,208,136,247
635416.jpg,512,512,Orchid,127,215,198,274
635416.jpg,512,512,Orchid,236,155,291,210
627012.jpg,512,512,Orchid,237,289,362,389
627012.jpg,512,512,Orchid,399,343,512,464
627012.jpg,512,512,Orchid,132,384,273,489
627012.jpg,512,512,Orchid,96,347,199,422
627012.jpg,512,512,Orchid,86,251,161,333
627012.jpg,512,512,Orchid,152,245,245,327
627012.jpg,512,512,Orchid,232,217,351,299
627012.jpg,512,512,Orchid,232,165,336,232
627012.jpg,512,512,Orchid,157,146,242,214
627012.jpg,512,512,Orchid,11,207,111,308
627012.jpg,512,512,Orchid,63,101,137,197
627012.jpg,512,512,Orchid,97,55,183,126
627012.jpg,512,512,Orchid,167,31,224,109
627012.jpg,512,512,Orchid,216,66,293,147
627012.jpg,512,512,Orchid,301,93,409,192
627012.jpg,512,512,Orchid,408,56,495,133
627012.jpg,512,512,Orchid,9,428,116,512
627012.jpg,512,512,Orchid,16,329,107,411
627012.jpg,512,512,Orchid,298,11,377,87
627012.jpg,512,512,Orchid,423,15,478,74
175.jpg,721,961,Rose,188,342,391,557
21672.jpg,721,541,Tulip,236,179,334,288
21672.jpg,721,541,Tulip,402,325,523,466
21666.jpg,721,961,Tulip,240,643,302,702
21666.jpg,721,961,Tulip,360,735,411,807
21666.jpg,721,961,Tulip,432,738,491,809
21666.jpg,721,961,Tulip,511,749,559,807
21666.jpg,721,961,Tulip,572,741,622,811
21666.jpg,721,961,Tulip,231,576,291,633
21666.jpg,721,961,Tulip,337,554,382,601
21666.jpg,721,961,Tulip,239,486,300,553
21666.jpg,721,961,Tulip,152,512,208,572
21666.jpg,721,961,Tulip,143,557,179,603
21666.jpg,721,961,Tulip,485,545,537,608
21666.jpg,721,961,Tulip,533,602,575,666
21666.jpg,721,961,Tulip,433,271,472,319
21666.jpg,721,961,Tulip,377,299,413,348
21666.jpg,721,961,Tulip,310,398,359,453
21666.jpg,721,961,Tulip,138,420,185,466
21666.jpg,721,961,Tulip,86,402,142,470
21666.jpg,721,961,Tulip,77,798,134,877
21666.jpg,721,961,Tulip,132,818,190,880
21666.jpg,721,961,Tulip,44,895,118,961
21666.jpg,721,961,Tulip,18,751,75,819
21666.jpg,721,961,Tulip,476,519,517,554
21666.jpg,721,961,Tulip,223,422,275,474
21666.jpg,721,961,Tulip,31,388,75,434
21666.jpg,721,961,Tulip,170,314,214,361
21666.jpg,721,961,Tulip,239,283,275,325
21666.jpg,721,961,Tulip,300,187,334,227
21666.jpg,721,961,Tulip,334,157,381,206
21666.jpg,721,961,Tulip,560,361,602,419
21666.jpg,721,961,Tulip,587,464,638,527
21666.jpg,721,961,Tulip,626,557,679,628
21666.jpg,721,961,Tulip,611,322,661,377
21666.jpg,721,961,Tulip,581,288,632,337
21666.jpg,721,961,Tulip,517,235,560,278
21666.jpg,721,961,Tulip,381,199,419,239
21666.jpg,721,961,Tulip,229,248,260,282
21666.jpg,721,961,Tulip,538,148,585,198
21666.jpg,721,961,Tulip,1,622,60,714
161.jpg,721,961,Rose,174,275,644,831
149.jpg,721,961,Rose,71,204,520,660
48.jpg,721,1281,Rose,109,256,665,892
22384.jpg,721,961,Sunflower,36,149,721,806
74.jpg,721,961,Rose,216,167,526,433
60.jpg,719,1280,Rose,22,327,718,1123
21316.jpg,721,961,Tulip,287,150,455,327
22179.jpg,721,541,Sunflower,297,62,701,487
22179.jpg,721,541,Sunflower,98,263,215,384
22179.jpg,721,541,Sunflower,37,146,58,163
22179.jpg,721,541,Sunflower,655,226,721,389
262591.jpg,360,360,Carnation,110,174,164,239
262591.jpg,360,360,Carnation,68,211,103,279
262591.jpg,360,360,Carnation,135,232,188,282
262591.jpg,360,360,Carnation,169,141,232,218
262591.jpg,360,360,Carnation,171,92,218,126
262591.jpg,360,360,Carnation,246,129,296,196
262591.jpg,360,360,Carnation,191,215,255,288
262591.jpg,360,360,Carnation,112,93,168,168
176548.jpg,1080,1440,Daffodil,136,344,923,1035
176548.jpg,1080,1440,Daffodil,59,1042,750,1440
642313.jpg,512,512,Orchid,51,89,135,161
642313.jpg,512,512,Orchid,135,202,214,267
642313.jpg,512,512,Orchid,223,155,304,228
642313.jpg,512,512,Orchid,334,179,404,257
642313.jpg,512,512,Orchid,386,148,455,218
642313.jpg,512,512,Orchid,184,70,241,123
642313.jpg,512,512,Orchid,335,42,407,103
642313.jpg,512,512,Orchid,38,56,103,97
642313.jpg,512,512,Orchid,120,33,190,86
642313.jpg,512,512,Orchid,400,98,475,151
642313.jpg,512,512,Orchid,261,27,315,75
642313.jpg,512,512,Orchid,257,93,310,143
203.jpg,720,720,Rose,254,192,482,365
203.jpg,720,720,Rose,641,320,720,401
327191.jpg,414,534,Daffodil,108,165,191,248
327191.jpg,414,534,Daffodil,206,116,302,228
327191.jpg,414,534,Daffodil,298,270,356,327
217.jpg,721,961,Rose,42,262,209,389
22233.jpg,721,961,Tulip,180,324,418,567
328922.jpg,720,960,Daffodil,203,257,565,576
328922.jpg,720,960,Daffodil,65,258,279,412
24130.jpg,721,961,Sunflower,178,142,655,849
24130.jpg,721,961,Sunflower,1,323,175,847
24656.jpg,721,961,Sunflower,168,369,519,777
57860.jpg,720,720,Sunflower,2,2,720,711
265177.jpg,960,1280,Carnation,304,707,432,833
265177.jpg,960,1280,Carnation,423,711,578,878
265177.jpg,960,1280,Carnation,597,679,716,824
265177.jpg,960,1280,Carnation,566,471,694,645
265177.jpg,960,1280,Carnation,391,473,534,547
265177.jpg,960,1280,Carnation,322,555,416,679
265177.jpg,960,1280,Carnation,422,593,518,705
265177.jpg,960,1280,Carnation,275,466,375,547
21909.jpg,600,415,Sunflower,154,7,488,363
326700.jpg,375,484,Daffodil,114,115,350,366
641578.jpg,512,512,Orchid,5,93,134,244
641578.jpg,512,512,Orchid,177,118,326,301
641578.jpg,512,512,Orchid,386,178,459,323
641578.jpg,512,512,Orchid,453,117,512,248
641578.jpg,512,512,Orchid,291,91,423,218
641578.jpg,512,512,Orchid,367,13,485,84
641578.jpg,512,512,Orchid,35,4,132,73
21934.jpg,721,961,Tulip,161,214,522,577
21934.jpg,721,961,Tulip,426,119,597,324
21934.jpg,721,961,Tulip,571,302,659,420
343833.jpg,720,960,Daffodil,233,187,324,328
343833.jpg,720,960,Daffodil,342,257,441,344
343833.jpg,720,960,Daffodil,281,379,474,541
343833.jpg,720,960,Daffodil,107,377,197,512
343833.jpg,720,960,Daffodil,1,402,43,524
21049.jpg,721,541,Tulip,423,342,490,417
21049.jpg,721,541,Tulip,269,371,363,450
21049.jpg,721,541,Tulip,574,309,645,388
21049.jpg,721,541,Tulip,70,298,136,354
21049.jpg,721,541,Tulip,216,172,267,220
21049.jpg,721,541,Tulip,301,209,360,261
57861.jpg,721,961,Sunflower,88,183,709,719
57875.jpg,721,961,Sunflower,83,244,619,724
57875.jpg,721,961,Sunflower,1,275,122,516
57849.jpg,721,961,Sunflower,198,226,622,607
57849.jpg,721,961,Sunflower,40,404,283,616
57849.jpg,721,961,Sunflower,208,98,445,234
57849.jpg,721,961,Sunflower,462,176,653,309
343166.jpg,720,960,Daffodil,263,496,367,587
343166.jpg,720,960,Daffodil,222,356,323,458
343166.jpg,720,960,Daffodil,385,383,493,478
343166.jpg,720,960,Daffodil,383,319,470,396
343166.jpg,720,960,Daffodil,498,341,598,434
343166.jpg,720,960,Daffodil,599,403,670,486
343166.jpg,720,960,Daffodil,341,273,385,342
343166.jpg,720,960,Daffodil,494,256,544,315
343166.jpg,720,960,Daffodil,448,274,521,358
343166.jpg,720,960,Daffodil,81,295,168,371
276334.jpg,720,960,Daffodil,1,414,432,753
276334.jpg,720,960,Daffodil,221,1,713,566
284149.jpg,720,960,Daffodil,261,299,432,457
284149.jpg,720,960,Daffodil,340,449,468,559
284149.jpg,720,960,Daffodil,175,346,269,475
317047.jpg,720,1280,Daffodil,120,291,626,829
317047.jpg,720,1280,Daffodil,48,179,245,408
216.jpg,721,961,Rose,191,395,588,765
202.jpg,720,720,Rose,158,89,681,628
342683.jpg,720,960,Daffodil,167,242,575,729
342683.jpg,720,960,Daffodil,94,163,234,309
342683.jpg,720,960,Daffodil,595,267,720,494
342683.jpg,720,960,Daffodil,435,219,615,454
21459.jpg,721,721,Tulip,59,116,670,674
198651.jpg,720,960,Carnation,397,275,482,346
198651.jpg,720,960,Carnation,436,233,516,282
198651.jpg,720,960,Carnation,488,294,561,369
198651.jpg,720,960,Carnation,583,303,668,388
198651.jpg,720,960,Carnation,665,298,720,371
198651.jpg,720,960,Carnation,560,237,697,295
198651.jpg,720,960,Carnation,512,502,574,573
198651.jpg,720,960,Carnation,566,486,644,584
198651.jpg,720,960,Carnation,303,500,387,577
198651.jpg,720,960,Carnation,423,498,487,569
198651.jpg,720,960,Carnation,338,410,430,491
198651.jpg,720,960,Carnation,252,433,331,511
198651.jpg,720,960,Carnation,138,721,244,760
198651.jpg,720,960,Carnation,129,759,260,824
198651.jpg,720,960,Carnation,162,852,259,936
198651.jpg,720,960,Carnation,86,860,144,943
198651.jpg,720,960,Carnation,451,747,527,838
198651.jpg,720,960,Carnation,394,776,453,843
198651.jpg,720,960,Carnation,296,695,365,751
198651.jpg,720,960,Carnation,84,307,203,432
198651.jpg,720,960,Carnation,7,320,84,413
198651.jpg,720,960,Carnation,1,528,79,645
198651.jpg,720,960,Carnation,99,547,151,606
198651.jpg,720,960,Carnation,1,754,60,844
198651.jpg,720,960,Carnation,312,276,361,317
198651.jpg,720,960,Carnation,209,260,259,304
61.jpg,721,961,Rose,98,73,166,129
61.jpg,721,961,Rose,160,160,606,636
61.jpg,721,961,Rose,551,541,721,799
61.jpg,721,961,Rose,3,350,217,711
21854.jpg,721,961,Tulip,102,70,679,632
75.jpg,721,961,Rose,101,297,530,640
230981.jpg,720,920,Carnation,300,141,437,241
230981.jpg,720,920,Carnation,149,188,301,244
230981.jpg,720,920,Carnation,179,271,323,378
230981.jpg,720,920,Carnation,90,324,240,468
230981.jpg,720,920,Carnation,3,429,135,575
230981.jpg,720,920,Carnation,100,563,203,714
230981.jpg,720,920,Carnation,229,608,406,744
230981.jpg,720,920,Carnation,213,740,418,861
230981.jpg,720,920,Carnation,391,579,558,745
230981.jpg,720,920,Carnation,260,492,393,599
230981.jpg,720,920,Carnation,381,446,482,586
230981.jpg,720,920,Carnation,495,387,647,521
230981.jpg,720,920,Carnation,372,272,508,382
230981.jpg,720,920,Carnation,239,387,379,489
230981.jpg,720,920,Carnation,160,478,274,572
230981.jpg,720,920,Carnation,527,284,663,382
230981.jpg,720,920,Carnation,65,172,191,231
230981.jpg,720,920,Carnation,458,203,571,279
49.jpg,721,961,Rose,71,190,228,320
22352.jpg,721,961,Tulip,325,593,506,793
22352.jpg,721,961,Tulip,588,676,721,859
22352.jpg,721,961,Tulip,149,175,235,251
148.jpg,721,961,Rose,238,98,359,193
148.jpg,721,961,Rose,162,267,269,371
209655.jpg,720,960,Daffodil,115,368,331,569
209655.jpg,720,960,Daffodil,309,414,490,623
209655.jpg,720,960,Daffodil,418,271,649,511
209655.jpg,720,960,Daffodil,78,524,278,695
342318.jpg,960,1280,Daffodil,579,389,935,897
342318.jpg,960,1280,Daffodil,1,277,681,926
631115.jpg,512,512,Orchid,11,57,434,486
160.jpg,721,961,Rose,297,261,580,569
634079.jpg,512,512,Orchid,214,260,498,500
634079.jpg,512,512,Orchid,104,140,264,344
634079.jpg,512,512,Orchid,1,148,137,275
634079.jpg,512,512,Orchid,40,370,221,502
634079.jpg,512,512,Orchid,144,1,311,90
174.jpg,721,961,Rose,21,254,256,420
174.jpg,721,961,Rose,241,342,620,743
174.jpg,721,961,Rose,7,640,182,961
21115.jpg,720,720,Tulip,39,116,205,306
21115.jpg,720,720,Tulip,330,157,485,366
21115.jpg,720,720,Tulip,516,471,679,676
158.jpg,720,961,Rose,142,238,619,649
158.jpg,720,961,Rose,10,440,363,784
21887.jpg,721,961,Sunflower,81,117,683,632
341629.jpg,720,960,Daffodil,91,251,391,572
341629.jpg,720,960,Daffodil,455,264,603,483
170.jpg,720,720,Rose,265,116,540,341
164.jpg,721,961,Rose,343,436,478,562
71.jpg,720,960,Rose,240,310,534,586
22381.jpg,721,961,Tulip,27,228,686,778
65.jpg,721,961,Rose,280,359,444,470
59.jpg,721,961,Rose,135,199,606,592
629574.jpg,512,512,Orchid,55,345,274,512
629574.jpg,512,512,Orchid,205,258,392,486
629574.jpg,512,512,Orchid,379,288,495,482
629574.jpg,512,512,Orchid,361,21,478,141
629574.jpg,512,512,Orchid,2,18,177,162
629574.jpg,512,512,Orchid,1,104,139,259
250254.jpg,972,1296,Carnation,505,484,702,665
250254.jpg,972,1296,Carnation,521,663,705,928
250254.jpg,972,1296,Carnation,302,687,546,956
21307.jpg,721,541,Tulip,64,17,541,443
22168.jpg,721,541,Tulip,289,195,548,413
22168.jpg,721,541,Tulip,121,149,364,359
636497.jpg,512,512,Orchid,243,248,355,372
636497.jpg,512,512,Orchid,115,299,230,404
636497.jpg,512,512,Orchid,55,81,166,207
636497.jpg,512,512,Orchid,83,6,183,98
636497.jpg,512,512,Orchid,140,123,231,225
636497.jpg,512,512,Orchid,220,191,307,273
191301.jpg,720,1280,Daffodil,67,464,223,654
191301.jpg,720,1280,Daffodil,131,624,289,811
191301.jpg,720,1280,Daffodil,284,486,462,688
191301.jpg,720,1280,Daffodil,243,333,446,532
191301.jpg,720,1280,Daffodil,458,330,673,541
191301.jpg,720,1280,Daffodil,433,511,605,685
254967.jpg,1078,720,Carnation,68,170,135,207
